id,title,release_date,overview,genres,keywords,cast,directors,writers,spoken_languages,streaming_platforms,rating,vote_count,popularity,runtime,poster_url
596407,Last Day Of Summer,2017-06-16,Last day of summer is a family portrayal of an aging homeopathic doctor and his son. It takes place over a period of roughly 24 hours as we explore their strained relationship when the son arrives home to attend a family ceremony. Old family notes are unearthed and new ones forged as the day unfolds.,['Drama'],['estranged father'],['George Kora'],['George Kora'],['George Kora'],"['Hindi', 'Malayalam']",[],0.0,0,0.0664,20,
409211,Akashangalil,2015-01-02,"Akashangalil is a 2015 Malayalam-language Indian feature film directed by Rixon Xavier, starring veteran actor Shankar in an extended special appearance",[],[],"['Pooja Vijayan', 'Shankar', 'Renjith Raj', 'Rakesh Krushna Joshi']",['Rixon Xavier'],[],['Malayalam'],[],0.0,0,0.0766,0,https://image.tmdb.org/t/p/w500/7LnmwxUjz9fKFmsZhgo1jlsP0bF.jpg
1243553,Sasneham Suhra,2024-04-12,A girl elopes from her conservative family to explore the world outside.,"['Drama', 'Music']",[],"['Ritika', 'Shabeer']",['Sreehari Gadha'],['Sreehari Gadha'],['Malayalam'],[],0.0,0,0.0643,8,https://image.tmdb.org/t/p/w500/s1xCTuoBC9NA6Gl29YRXfkRLEs7.jpg
1233990,Niyathi Cc1/2024,2024-12-22,,"['Crime', 'Drama']",[],"['Eldhoraju', 'Manandhusoodha Chandhu', 'Miya George', 'Jayakrishnan', 'Pavithra Vijayan']",['Arundev Malappuram'],['MuhammedRafeek'],['Malayalam'],[],4.8,2,0.0541,0,https://image.tmdb.org/t/p/w500/d2wtpFUdbfUY2RibYIAajet0yCp.jpg
1646132,Paykappal,2022-11-18,"The lives of ordinary people whose struggles, emotions, and relationships unfold within a socially rooted setting.",['Drama'],[],"['Indrans', 'Suresh Krishna', 'Irshad', 'Salu Koottanad', 'Karthik Vishnu']",['Muhamed Rafi'],"['Muhamed Rafi', 'Muhamed Rafi']",['Malayalam'],['ManoramaMAX Amazon Channel'],1.0,1,0.0748,94,https://image.tmdb.org/t/p/w500/uc5sx9O4XkhoMEMSB6BngWxjL8r.jpg
1587112,Disorder,2025-11-24,"In a college canteen, two students find themselves caught in a quiet confusion that blurs the line between order and reality.","['Mystery', 'Drama', 'Comedy']","['questioning', 'ambiguity', 'porotta', 'haryali chicken', 'identity collision']","['Vivek M Varghese', 'Rovensy', 'Rohith Ayinkalath', 'Pawan Mammen', 'Pappu Choudhary']",['Pawan Mammen'],"['Pawan Mammen', 'Pawan Mammen', 'Pawan Mammen']","['English', 'Hindi', 'Malayalam', 'Tamil']",[],9.5,2,0.0598,7,https://image.tmdb.org/t/p/w500/nsja4DD65tpPOu3Xmwpgb9JIieA.jpg
978439,Antharam,2022-06-01,"A trans woman, a teenage girl and a man share a home, navigating personal struggles, past trauma, as well as the complexities of love and acceptance.",['Drama'],[],"['Negha Shahin', 'Kannan Nayar', 'Nakshathra Manoj', 'Rajeevan Vellur']",['Abhijith Pulparambath'],"['Abhijith Pulparambath', 'Shanavas M. A']","['Malayalam', 'Tamil']","['ManoramaMax', 'ManoramaMAX Amazon Channel']",3.0,1,0.0581,76,https://image.tmdb.org/t/p/w500/gJJpEAkmUsgFE2CNucxm74cIdZZ.jpg
999040,Lalanna's Song,2022-04-29,"Two young women meet a possibly supernatural maiden, Lalanna, whose song can lead to death.","['Drama', 'Fantasy', 'Mystery', 'Horror']",[],"['Rima Kallingal', 'Parvathy Thiruvothu', 'Nakshatra Indrajith', 'Hannah Chacko', 'Faraz Khan']",['Megha Ramaswamy'],['Megha Ramaswamy'],"['Hindi', 'Malayalam']","['MUBI', 'MUBI Amazon Channel']",6.0,1,0.1003,34,https://image.tmdb.org/t/p/w500/8d9SwpKbqtbBzQbaAmOdzjBLeiP.jpg
411889,One Day,2015-12-11,his is a crime investigation story about a missing child.,['Thriller'],[],"['Maqbool Salmaan', 'Kalasala Babu', 'Disha Dinakar', 'Noby Marcose', 'Madan Mohan']",['Sunil v Panicker'],['James Bright'],['Malayalam'],[],0.0,0,0.0643,112,https://image.tmdb.org/t/p/w500/cw31GU3c1pvMQrjYYg7x7Fqabbw.jpg
859221,Insha,2021-08-03,"Insha explores the lives of 12 year-old-girl Insha and three friends. Their conversations, childish pranks, dreams and the journey to fulfil it are handled well in the movie. Also in focus are the lives of less fortunate inhabitants of the village.",['Drama'],[],['Prarthana Sandeep'],['Dr. Siju Vijayan'],[],['Malayalam'],[],0.0,0,0.0738,80,https://image.tmdb.org/t/p/w500/nIhlFP2YtEchQTbTEl9BA90MAPu.jpg
752932,Kenjira,2019-11-21,,['Drama'],[],"['Vinusha Ravi', 'Joy Mathew']",['Manoj Kana'],['Manoj Kana'],['Malayalam'],[],0.0,0,0.1312,81,https://image.tmdb.org/t/p/w500/gB4hO3Qm5iLhX3EYdd3KAFAbJo0.jpg
616754,Queen of Neermathalam Pootha Kalam,2019-06-28,A story on the many loves that come into the life of a young woman,"['Drama', 'Romance']",[],"['Preethi Jino', 'Dona Maria Anthraper', 'Anju Reena Varghese', 'Arun Chandran']",['Ar Amal Kannan'],['Anaz Nazeer Khan'],['Malayalam'],[],6.0,2,0.071,145,https://image.tmdb.org/t/p/w500/l4u0XJPOY0efyQQ43d96Wc5tMA6.jpg
1559866,Thampachi,2025-10-05,"In a village where Thampachi and Komaras are believed to be the counterparts of God, everyone respects Shiva Thampachi and his daughter Shivani. Unexpectedly, a job offer comes in search of Shivani.",['Drama'],[],"['Sudheer Karamana', 'Rahul Madhav', 'Sarath Kumar', 'Adhish Praveen', 'Chembil Ashokan']",['Manoj T Yadav'],"['Manoj T Yadav', 'Manoj T Yadav']",['Malayalam'],"['ManoramaMax', 'ManoramaMAX Amazon Channel']",2.0,1,0.0585,93,https://image.tmdb.org/t/p/w500/p5PBkB35AaAFTlmNKUOjD7e2290.jpg
1600190,Purple Poppins,2023-08-04,"2001, Shirley committed suicide by jumping off a high-rise building while her younger brother Sherin witnessed it. Despite knowing the reason, Sherin feels helpless.","['Crime', 'Drama']",[],[],[],[],['Malayalam'],['ManoramaMAX Amazon Channel'],0.0,0,0.0725,98,https://image.tmdb.org/t/p/w500/qB5epRUDTxXhQ1xLkVQK2tNJZyB.jpg
1578834,All The Living,2025-12-14,"A writer's old age is marked by loneliness, where only his characters keep him company. His entire living world becomes his relatives. The film explores this journey through three famous short stories: T. Padmanabhan's ""Poocchakkuttikalude Veedu"" (The House of Kittens) and ""Naykkalukalum Manushyarum"" (Dogs and Humans), and Rene Basin's French story, ""Thapal Pettiyile Kuruvikal"" ( Birds in the Postbox).",[],[],['Irshad'],['Sherry Govindan'],[],['Malayalam'],[],0.0,0,0.0578,91,https://image.tmdb.org/t/p/w500/uUVyjynttpPJpof2hHCoP7otiso.jpg
652900,Santacruz,2022-07-01,"Santacruz is an upcoming Malayalam movie written and directed by Johnson John Fernandez. As per reports, actress Noorin Shereef has been signed as the female lead but the male lead is still undisclosed.","['Romance', 'Music', 'Thriller']",[],"['Noorin Shereef', 'Aniish RRehhman', 'Aju Varghese', 'Rahul Madhav', 'Major Ravi']",['Johnson John Fernandez'],['Johnson John Fernandez'],['Malayalam'],[],0.0,0,0.0886,0,https://image.tmdb.org/t/p/w500/792wCwcEZRvfGwi3z5OoxLVx1p1.jpg
613035,Sleeplessly Yours,2018-12-01,"Jessy wakes up one morning with a splitting headache and a vague memory of the bygone week to realize that his partner, Maanu, is missing. A frantic search follows. Jessy and Maanu, an eccentric couple, had decided to experiment on sleep deprivation in an attempt to liven up their relationship. What began as a joke turned serious in a couple of days. Their initial phases of creativity, fun, and frolic slowly gave way to lack of judgment, agitation, and temperamental issues. At the end of 4 days of turmoil, they crack and have an altercation about the state of their relationship. Things turn violent and soon Jessy passes out. The movie, structured in a non-linear narrative, is an attempt by Jessy to recollect what went down in the last four days. We go back and forth between his present search for her and the bursts of memories that he has about her. With the help of his friend Venu, he attempts to discover her past that she'd refused to ever reveal.",[],[],"['Sudev Nair', 'Devaki Rajendran', 'Syamaprakash Ms']","['Sudeep Elamon', 'Goutham Soorya']",['Goutham Soorya'],['Malayalam'],[],6.0,1,0.0725,72,https://image.tmdb.org/t/p/w500/hhNqXXLUEZbqqOJQKaxH7h9vjd.jpg
569802,Papas,2018-11-23,"Lonan's slippers have seen its end, thanks to the wear and tear it has borne over the years. And his father Lazer, a drunkard, is always ""too poor"" to be able to buy him a new pair.",['Drama'],[],"['Jyothis', 'Rasheed Rashi', 'Vishrutha Vijayakumar', 'Jayaraj Mithra']",['Sambath'],['Santhosh Kallat'],['Malayalam'],[],0.0,0,0.0578,152,https://image.tmdb.org/t/p/w500/dcTQ595qX8vquNoPBwWnWJNSHCO.jpg
532212,Paikutty,2018-05-25,Paikutty is a Malayalam movie starring Pradeep Nalanda in a prominent role. It is a drama directed by Nandhu Varavoor.,"['Action', 'Drama']",[],['Pradeep Nalanda'],['Nandhu Varavoor'],['Nandhu Varavoor'],"['Malayalam', 'Tamil']",[],0.0,0,0.0552,125,https://image.tmdb.org/t/p/w500/z9oJM4uIeuFUB6fk2Fk7AOA2pzJ.jpg
1104637,Love in Varapuzha,2023-03-29,"A filmmaker seeking actors for his film meets an artist, and a boy selling black tickets.",['Comedy'],[],"['Raju Ponnurunni', 'Arshed Iqbal', 'Anandhu T S', 'Reyan Shameer', 'Jesse Deepak']",['Gagan Dev'],['Gagan Dev'],['Malayalam'],[],0.0,0,0.0582,10,https://image.tmdb.org/t/p/w500/54nLPeEZN7IMjn4mc6CZBgzbLu5.jpg
